id,institucion,provincia,localidad,direccion,cp,telefono,email,horario_atencion,tipo_api,lat,lon
4923,Área Mujer,FORMOSA,Villa General Güemes,Velez Sarfield y Belgrano,,(03716) 492030,portal@generalguemes.gov.ar,Lunes a Viernes de 8 a 13 hs,Mujer,-24.7542992 ,-59.488681799999995
4924,Juzgado de Paz,JUJUY,Abra Pampa,Avellaneda y Fagio,,Sin teléfono de linea,,Lunes a Viernes de 8 a 13 hs,Legal,-22.7226738 ,-65.69698319999998
4925,Ministerio de Desarrollo Social de la Provincia de Jujuy,JUJUY,Abra Pampa,Avenida Bolivia 2571,,(0388) 4221285/4240919,,Lunes a Viernes de 8 a 13 hs,Mujer,-22.7226738 ,-65.69698319999998
4926,Área Mujer,JUJUY,Calilegua,Avenida Sarmiento 486,,(03886) 428038,,Lunes a Viernes de 8 a 13 hs,Mujer,-23.7754866,-64.76858249999998
4928,Municipalidad,JUJUY,El Carmen,Belgrano 301,,(0388) 4934100,,Lunes a Viernes de 8 a 13 hs,Mujer,-24.388833,-65.261123
4929,Juzgado de Paz,JUJUY,El Carmen,Sarmiento 147,,(0388) 4933771,,Lunes a Viernes de 8 a 13 hs,Legal,-24.3904319,-65.26016479999998
4930,Hospital “Escolastico Zegada”,JUJUY,El Piquete,Senador Perez S/N,,(03886) 4800441,,24 hs,Salud,-24.178162,-64.679882
4931,Comisaria,JUJUY,El Piquete,Senador Tanco,,(03888) 492040,,24 hs,Comisaria,-24.178162,-64.679882
4932,Hospital “Nuestra Señora Del Pilar”,JUJUY,El Talar,Dorrego S/N,,(03886) 491020,,24 hs,Salud,-23.558006,-64.362529
4933,"Centro de atención Integral de la Niñez, Adolescencia y Familia",JUJUY,Humahuaca,Santa Fe (Esquina Entre Ríos),,Sin teléfono de linea,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-23.200057,-65.342742
4934,Hospital “General Manuel Belgrano”,JUJUY,Humahuaca,Santa Fe 34,,(03887) 421009,,24 hs,Salud,-23.203936,-65.349507
4935,Comisaria 25,JUJUY,La Esperanza,Douglas Davison y Leach,,(03888) 425447,,24 hs,Comisaria,-24.231225,-64.867070
4936,Consejo De La Mujer,JUJUY,La Quiaca,Pellegrini (Esquina Rivadavia),,(03885) 422393,,Lunes a Viernes de 8 a 13 hs,Mujer,-22.1027258 ,-65.59146299999998
4937,Hospital Mina Aguilar,JUJUY,Mina El Aguilar,Campamento Molino S/N,,(03887) 493002 (interno: 1103)/(03887) 499033,,24 hs,Salud,-23.2,-65.7
4938,Área Mujer,JUJUY,Mina El Aguilar,Corrida B (Casa 9),,(03887) 493023,,Lunes a Viernes de 8 a 13 hs,Mujer,-23.2,-65.69999999999999
4939,Hospital,JUJUY,Monterrico,Avenida Las Maravillas S/N,,(0388) 4944211,,24 hs,Salud,-24.4449424,-65.15960310000003
4940,Juzgado De Paz,JUJUY,Monterrico,España 11,,(0388) 4944531,,Lunes a Viernes de 8 a 13 hs,Legal,-24.440728,-65.161528
4941,Área Mujer Municipal,JUJUY,Palma Sola,Avenida Roberto Dominguez S/N,,Sin Teléfono,,Lunes a Viernes de 8 a 13 hs,Mujer,-23.976456,-64.305565
4942,Área Mujer,JUJUY,Palpala,Avenida Rio de la Plata S/N,,(0388) 4270012,,Lunes a Viernes de 8 a 13 hs,Mujer,-24.257593,-65.213095
4943,Centro De Acceso A La Justicia,JUJUY,Palpala,Chacho Peñaloza (Esquina Cabo Quispe),,(0388) 4012030,,Lunes a Viernes de 7:30 a 15 hs,Legal,-24.253657,-65.21007
4944,Centro Contra La Violencia De Genero,JUJUY,Palpala,Soldado Aguirre (Esquina Teniente Farias),,(0388) 4056395,,Lunes a Viernes de 8 a 13 hs,Mujer,-24.264835,-65.211778
4945,Área Mujer Municipal,JUJUY,Pampichuela,Calle principal S/N,,(03886) 4270223,,Lunes a Viernes de 8 a 13 hs,Mujer,-23.550000,-65.033340
4946,Consejo De La Mujer,JUJUY,Perico,Alberdi 460,,(0388) 4911170,,Lunes a Viernes de 8 a 13 hs,Mujer,-24.375729,-65.119417
4947,Área Mujer Municipal,JUJUY,Perico,Moreno (Esquina 23 de Agosto),,Sin Teléfono,,Lunes a Viernes de 8 a 13 hs,Mujer,-24.376157,-65.118186
4948,Área Mujer Municipal,JUJUY,Puesto Viejo,Centro Mina,,Sin Teléfono,,Lunes a Viernes de 8 a 13 hs,Mujer,-24.486350,-64.965027
4949,Subcomisaria,JUJUY,Puesto Viejo,Ruta 53,,(0388) 4913001,,24 hs,Comisaria,-24.48635,-64.965027
4950,Destacamento Policial,JUJUY,Pumahuasi,Florida (Entre Sarmiento y Belgrano),,(0388) 4908855,,24 hs,Comisaria,-22.289666,-65.680346
4951,Comisaria 53,JUJUY,Rodeíto,Ruta Provincial N° 1,,(03888) 427035,,24 hs,Comisaria,-24.101515,-65.483903
4952,Área Mujer,JUJUY,San Antonio,Sarmiento (Esquina Belgrano),,(0388) 4998130,,Lunes a Viernes de 7 a 19:30 hs,Mujer,-24.3703416,-65.33183600000001
4953,"Centro de atención Integral de la Niñez, Adolescencia y Familia",JUJUY,San Pedro,Mikilsen 132,,Sin teléfono de linea,,Lunes a Viernes de 7 a 13 hs,Niñez / Familia,-24.231657,-64.867871
4954,Dirección de Migraciones,JUJUY,San Salvador De Jujuy,Avenida 19 de Abril 1057,,(0388) 4235658,del.jujuy@migraciones.gov.ar,Lunes a Viernes de 7 a 13:30 hs,Dirección de Migraciones,-24.1887511,-65.30728599999998
4955,Defensoría De Menores,JUJUY,San Salvador De Jujuy,Belgrano 1295 (3°P),,(0388) 4231888,,Lunes a Viernes de 7:30 a 13 hs,Legal,-24.185665,-65.309638
4956,Área Mujer,JUJUY,San Salvador De Jujuy,Bolivia 2571,,(0388) 4240919/4231975/4221285,,Lunes a Viernes de 8 a 13 hs,Mujer,-24.1789959,-65.34308929999997
4957,Dirección de Adultos Mayores,JUJUY,San Salvador De Jujuy,General Paz 453,,(0388) 4235080,,Lunes a Viernes de 7 a 20 hs,Adultos Mayores,-24.184557,-65.312526
4958,Dirección Municipal de Adultos Mayores,JUJUY,San Salvador De Jujuy,Gorriti,,(0388) 4020156,,Lunes a Viernes 8 a 15 hs,Adultos Mayores,-24.190023,-65.298694
4959,Centros De Acceso A La Justicia,JUJUY,San Salvador De Jujuy,Independencia 756,,(0388) 4310826,,Lunes a Viernes de 7.30 a 15 hs,Legal,-24.187796,-65.30268
4960,Centro De Referencia,JUJUY,San Salvador De Jujuy,Senador Pérez 669,,(0388) 4225342/4244894/4236105,cdr_jujuy@hotmail.com /hugocaceres_jujuy@yahoo.com.ar,Lunes a Viernes de 8 a 13 hs,Centro de Referencia,-24.181923,-65.308605
4961,Municipalidad,JUJUY,Santa Catalina,Ernesto Padilla y San Martín,,(03887) 491140,,Lunes a Viernes de 8 a 13 hs,Mujer,-21.946447,-66.051476
4962,Juzgado de Paz,JUJUY,Volcan,Rivadavia 450,,(0388) 4906018 - Policia,,Lunes a Viernes de 8 a 13 hs,Legal,-23.577702,-65.3932059
4963,Comisión Municipal de Yala,JUJUY,Yala,San Pablo (Intersección Rutas 9 y 4),,(0388) 4922002,,Lunes a Viernes de 8 a 13 hs,Mujer,-24.1466613,-65.39630979999998
4964,Juzgado de Paz,JUJUY,Yala,San Pablo (Intesección Rutas 9 y 4),,Sin Teléfono,,Lunes a Viernes de 8 a 13 hs,Legal,-24.1466613,-65.39630979999998
4965,Comisión Municipal De Yuto,JUJUY,Yuto,Avenida Sarmiento S/N,,(03886) 498550,,Lunes a Viernes de 8 a 13 hs,Mujer,-24.1857864,-65.29947670000001
4966,Juzgado de Paz,JUJUY,Yuto,San Martín S/N,,(03886) 498048,,Lunes a Viernes de 8 a 13 hs,Legal,-23.6427652,-64.4718995
4967,Manos Solidarias Del Oeste,LA PAMPA,25 De Mayo,Victoria 76,,Sin teléfono de linea,,,Organización no gubernamental,-34.459813,-58.6362
4968,Centro De Apoyo Familiar,LA PAMPA,Bernardo Larroude,Francisco Speroni 381,,(02302) 492106,,Lunes a Viernes de 8:30 a 14:30 hs,Mujer,-35.025881,-63.579412
4969,Circulo Judicial 2,LA PAMPA,Bernardo Larroude,Rivadavia 57,,(02302) 492219,,Lunes a Viernes de 8 a 13 hs,Legal,-35.025883,-63.579414
4970,Acción Social,LA PAMPA,Catrilo,Avellaneda 352,,Sin teléfono de linea,,Lunes a Viernes de 8 a 13 hs,Mujer,-36.408073,-63.419819
4971,Establecimiento Asistencial “Amada Gatica“,LA PAMPA,Catrilo,Belgrano y Avellaneda,,(02954) 491018,,24 hs,Salud,-36.408073,-63.419819
4972,Centro De Salud,LA PAMPA,Chos Malal,Paraje Chos Malal,,Sin Teléfono,,24 hs,Salud,-37.367771,-70.270943
4973,Juzgado De Paz,LA PAMPA,General Acha,Avellanda 782,,(02952) 412380,,Lunes a Viernes de 8 a 13 hs,Legal,-37.376144,-64.600044
4974,Defensoría,LA PAMPA,General Acha,Charlone 908,,(02952) 432056,,Lunes a Viernes de 8 a 13 hs,Legal,-37.376144,-64.600044
4975,Dirección De Familia,LA PAMPA,General Pico,Calle 16 Nº 451,,(02302) 434223 al 434226 (interno: 163),,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-35.659554,-63.759178
4976,Comisaría,LA PAMPA,La Adela,Avenida Del Libertador 1025,,(02931) 432607,,24 hs,Comisaria,-38.977375,-64.081833
4977,Centro De Salud,LA PAMPA,La Adela,Pasaje Neuquén S/N,,(02931) 432245,,24 hs,Salud,-38.977375,-64.081833
4978,Acción Social,LA PAMPA,La Adela,Pasaje Rio Negro 262,,(02931) 430650/432251,,Lunes a Viernes de 7:30 a 13:30 hs,Mujer,-38.977375,-64.081833
4979,Área Mujer,LA PAMPA,Realico,Sarmiento 1440,,(02331) 462783,Desarrollosocialrealico@hotmail.com,Lunes a Viernes de 8 a 13 hs,Mujer,-35.038017,-64.246574
4980,Dirección de Migraciones,LA PAMPA,Santa Rosa,Bartolomé Mitre 363,,(0254) 423156,del.lapampa@migraciones.gov.ar,Lunes a Viernes de 7 a 15 hs,Dirección de Migraciones,-36.6205673,-64.29119279999998
4981,Seccional 7°,LA PAMPA,Santa Rosa,Chile y Bolivia,,(02954) 437608,,24 hs,Comisaria,-36.629192,-64.296204
4982,Brigada Investigaciones,LA PAMPA,Santa Rosa,Hipólito Irigoyen 654,,(02954) 428944,,24 hs,Comisaria,-36.619918,-64.283404
4983,Dirección de Adultos Mayores,LA PAMPA,Santa Rosa,José Luro 92,,(02954) 455835/424279,,Lunes a Viernes de 7 a 13:30 hs,Adultos Mayores,-36.626838,-64.304232
4984,Área Mujer,LA PAMPA,Santa Rosa,Lisandro de la Torre 581,,(02954) 428270,,Lunes a Viernes de 7 a 13 hs,Mujer,-36.622108,-64.28365689999998
4985,Hospital Lucio Molas,LA PAMPA,Santa Rosa,Raul B Diaz 1801,,(02954) 455000/428410,,24 hs,Salud,-36.599051,-64.289708
4986,Comando Radioeléctrico,LA PAMPA,Santa Rosa,Raul Bedia 815,,(02954) 424598,,24 hs,Comisaria,-36.620768,-64.290062
4987,Centro De Referencia,LA PAMPA,Santa Rosa,Rivadavia 245,,(02954) 424135/428228/428861,crdslapampa@yahoo.com.ar,Lunes a Viernes de 8 a 13 hs,Centro de Referencia,-36.619342,-64.287266
4988,Fundación Ayudandonos,LA PAMPA,Santa Rosa,San Juan 296,,(02954) 437864,,,Organización no gubernamental,-36.61249,-64.285932
4989,Juzgado de Paz,LA PAMPA,T. M. Anchorena,Avenida Rivadavia y Felix Plan,,(02953) 490034,,Lunes a Viernes de 8 a 13 hs,Legal,-35.676124,-65.424356
4990,Acción Social,LA PAMPA,Telen,Alfonso Capdeville 556,,(02338) 498174,,Lunes a Viernes de 8 a 13 hs,Mujer,-36.265869,-65.507759
4991,Área Mujer,LA RIOJA,Arauco,San Martin 146,,(03827) 420029,,Lunes a Viernes de 8 a 13 hs,Mujer,-28.568584,-66.801468
4992,Comisaría De La Mujer,LA RIOJA,Chepes,Colón y Mariano Moreno,,Sin Teléfono,,24 hs,Comisaria Mujer,-31.336389,-66.591843
4993,Área Mujer,LA RIOJA,Chepes,San Martin (Entre Belgrano y Tucuman),,Sin teléfono de linea,,Lunes a Viernes de 8 a 13 hs,Mujer,-31.336389,-66.591843
4994,Defensor Del Pueblo,LA RIOJA,Chilecito,Facundo Quiroga 78 (PA),,(03825) 429491,,Lunes a Viernes de 8 a 13 hs,Legal,-29.16596,-67.5
4995,Oficina Violencia De Género,LA RIOJA,Chilecito,Julian Amatte S/N,,Sin Teléfono,,Lunes a Viernes de 8 a 13 hs,Mujer,-29.16596,-67.5
4996,Consejo De La Mujer,LA RIOJA,Chilecito,Maestro 185,,(03825) 429671,,Lunes a Viernes de 8 a 13 hs y de 17 a 21 hs,Mujer,-29.16596,-67.5
4997,Comisaría De La Mujer,LA RIOJA,La Rioja,Avenida Alem (Entre Maya y Azteca),,(0380) 4426608,,24 hs,Comisaria Mujer,-29.4128,-66.85598
4998,Centro De Asistencia A La Víctima: Fiscalía General Provincial,LA RIOJA,La Rioja,Avenida Félix de la Colina,,(0380) 4468306,,Lunes a Viernes de 8 a 13 hs,Legal,-29.43994,-66.858919
4999,Comisaría,LA RIOJA,La Rioja,Avenida Ortiz De Ocampo (Entre Clodulfa Osanz y Saavedra),,(0380) 4427385,,24 hs,Comisaria,-29.447178,-66.858452
5000,Hospital De La Madre Y El Niño,LA RIOJA,La Rioja,Avenida Primero De Marzo,,(0380) 4456900,,24 hs,Salud,-29.427566,-66.844795
5001,Dirección de Migraciones,LA RIOJA,La Rioja,Avenida Rivadavia 790,,(0380) 420766/432763,del.larioja@migraciones.gov.ar,Lunes a Viernes de 8 a 13 hs,Dirección de Migraciones,-29.4149178,-66.85893770000001
5002,Unidad Regional 4º,LA RIOJA,La Rioja,Avenida Rivadavia 871,,(0380) 442612/4453153,,24 hs,Comisaria,-29.415003,-66.860042
5003,Juzgado De Paz,LA RIOJA,La Rioja,Avenida Rivadavia y Güemes,,(0380) 4427439/4453680,,Lunes a Viernes de 8 a 13 hs,Legal,-29.415241,-66.850395
5004,Área Mujer,LA RIOJA,La Rioja,Benjamín de la Vega 76,,(0380) 4468480/4453762,LATTUCAGABRIELA@YAHOO.COM.AR,Lunes a Viernes de 8 a 13 hs,Mujer,-29.4141947,-66.8521527
5005,Centro De Referencia En Salud Mental “San Martin”,LA RIOJA,La Rioja,Del Carmen y San Juan S/N,,(0380) 4429355,,24 hs,Salud,-29.39966,-66.855782
5006,Departamento Interdisciplinario De Salud Mental Infantil,LA RIOJA,La Rioja,El Chacho S/N,,(0380) 4453559,,24 hs,Salud,-29.4128,-66.85598
5007,Comisaría,LA RIOJA,La Rioja,Fray Santa María Oro y Blas Parera,,(0380) 4425187,,24 hs,Comisaria,-29.430613,-66.847328
5008,Asesorías Oficiales De Menores e Incapaces,LA RIOJA,La Rioja,Joaquín Víctor González 77,,(0380) 4453887/4453894,,Lunes a Viernes de 8 a 13 hs,Legal,-29.407038,-66.855995
5009,Hospital Presidente Plaza,LA RIOJA,La Rioja,Olta S/N,,(0380) 4429991,,24 hs,Salud,-30.631681,-66.263611
5010,Hospital Regional Dr. Enrique Vera Barros.,LA RIOJA,La Rioja,Olta y Madre Teresa De Calcuta,,(0380) 4453552/4453553/4453554,,24 hs,Salud,-29.416069,-66.837585
5011,Policía División Trata De Personas – Centro de Administrativo Provincial,LA RIOJA,La Rioja,Ortiz de Ocampo y Boulevard Carlos Menem,,(0380) 4453712,,24 hs,Comisaria Mujer,-29.4128001,-66.8559803
5012,Juzgado Civil Y Comercial Nº 1,LA RIOJA,La Rioja,Pelagio B. Luna 336,,(0380) 4453882/3,,Lunes a Viernes de 8 a 13 hs,Legal,-29.411836,-66.853031
5013,Defensor General,LA RIOJA,La Rioja,"San Martín 117 (3° P, Oficina 3, 4 y 9)",,(0380) 4453660/1,,Lunes a Viernes de 8 a 13 hs,Legal,-29.414995,-66.857691
5014,Centro De Referencia,LA RIOJA,La Rioja,San Martin 78,,(0380) 4429619/4434227,,Lunes a Viernes de 8 a 13 hs,Centro de Referencia,-29.414778,-66.857684
5015,Comisaría,LA RIOJA,La Rioja,Valle Melchor E Isla Del Estado,,(0380) 4425712,,24 hs,Comisaria,-29.4128,-66.85598
5016,Dirección General Niñez Y Adolescencia,LA RIOJA,La Rioja,Velez Sarsfield y Benjamin De La Vega,,(0380) 4426214,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-29.416853,-66.851746
5017,Área Mujer,LA RIOJA,San Blas De Los Sauces,Ruta Nacional 40 y Salica 5329,,(03827) 497006,,Lunes a Viernes de 8 a 13 hs,Mujer,-28.39966,-67.082519
5018,Centro De Salud N° 38,MENDOZA,Chacra de Coria,Italia 5600,,(0261) 4960104,,Lunes a Viernes de 7 a 19 hs,Salud,-33.03071,-68.878355
5019,Comisaría,MENDOZA,General Alvear,Avenida Alvear Oeste y San Rafael,,(02625) 422013,,24 hs,Comisaria,-34.608328,-68.333416
5020,Servicio Local De Promoción Y Protección De Derechos:,MENDOZA,General Alvear,Independencia 246,,(02625) 425521,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-32.950695,-60.643650
5021,Juzgado De Familia,MENDOZA,General Alvear,Intendente Morales 155,,(02625) 424130/426420,,Lunes a Viernes de 8 a 13 hs,Legal,-34.974007,-67.685692
5022,Defensoria De Familia Y Civil,MENDOZA,General Alvear,Intendente Morales 155,,(02625) 426807,,Lunes a Viernes de 8 a 13 hs,Legal,-34.974007,-67.685692
5023,Hospital Enfermeros Argentinos.,MENDOZA,General Alvear,Mitre y Emilio Sivit,,(02625) 422165/422857,,24 hs,Salud,-34.974007,-67.685692
5024,Comisaría,MENDOZA,General Alvear,Sarmiento 154,,(02625) 480001,,24 hs,Comisaria,-32.948176,-60.658119
5025,Comisaría 34°,MENDOZA,Godoy Cruz,20 De Junio 736,,(0261) 4243902/4242206/4244225/4243891/4243904,,24 hs,Comisaria,-32.917994,-68.853515
5026,Subcomisaria,MENDOZA,Godoy Cruz,Castromán Y Morales,,(0261) 4390559,,24 hs,Comisaria,-32.892720,-68.810640
5027,Centro De Salud,MENDOZA,Godoy Cruz,Chimbas y Salvador Civit,,(0261) 4222060,,Lunes a Viernes 7:30 a 17 hs y Sábados 8 a 12 hs,Salud,-32.917782,-68.832092
5028,Centro Municipal De Salud Mental,MENDOZA,Godoy Cruz,Derqui y Mármol,,(0261) 4133239,,Lunes a Viernes 8 a 18 hs,Salud,-32.917782,-68.832092
5029,Comisaría 27°,MENDOZA,Godoy Cruz,General Alvear 1515,,(0261) 4271708/4281913/4281910,,24 hs,Comisaria,-32.909558,-68.863216
5030,Centro De Salud,MENDOZA,Godoy Cruz,Laguna De La Esquina y Laguna De La Niña Encantada,,(0261) 4390640,,Lunes a Viernes 7:30 a 19 hs y Sábados 8 a 12 hs,Salud,-32.946646,-68.859141
5031,Comisaría 7°,MENDOZA,Godoy Cruz,Lavalle 88,,(0261) 4221385,,24 hs,Comisaria,-32.888537,-68.837205
5032,Comisaría 40°,MENDOZA,Godoy Cruz,Manzana 12 Casa 01,,(0261) 4397110/4390278,,24 hs,Comisaria,-32.917782,-68.832092
5033,Comisaría 52°,MENDOZA,Godoy Cruz,Manzana N Casa 88,,(0261) 4361612,,24 hs,Comisaria,-32.865769,-68.819585
5034,Comisaría 50°,MENDOZA,Godoy Cruz,Marcos Sastre y Río Gallegos,,(0261) 4284721/4285982,,24 hs,Comisaria,-32.917782,-68.832092
5035,Subcomisaria,MENDOZA,Godoy Cruz,Rodríguez Peña y Maza,,Sin teléfono de linea,,24 hs,Comisaria,-32.907547,-68.836210
5036,Comisaría 37°,MENDOZA,Godoy Cruz,Terrada y Formosa,,(0261) 4523322,,24 hs,Comisaria,-32.940954,-68.833723
5037,Área de la Mujer,MENDOZA,Guaymallen,Benavente 4213,,(0261) 4498963/4498125,,Lunes a Viernes de 8 a 14 hs,Mujer,-32.900470,-68.787901
5038,Destacamento,MENDOZA,Guaymallen,Benjamín Argumedo y Ortega (Esquina Se Corralitos),,(0261) 4821021,,24 hs,Comisaria,-32.883331,-68.699997
5039,Área Niñez,MENDOZA,Guaymallen,Calle 38 y Iglesia,,(0261) 4453566,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-32.901389,-68.7825
5040,Comisaría 45°,MENDOZA,Guaymallen,Dorrego 1090,,(0261) 4313412,,24 hs,Comisaria,-32.923284,-68.830367
5041,Subcomisaria,MENDOZA,Guaymallen,Lavalle y Buenos Vecinos (Esquina De La Cruz),,( 0261) 4910917,,24 hs,Comisaria,-32.876533,-68.691650
5042,Dirección De Salud Municipal,MENDOZA,Guaymallen,Libertad 720,,(0261) 4498181,,Lunes a Viernes de 7 a 13:30 hs,Salud,-32.900238,-68.787970
5043,Comisaría 9°,MENDOZA,Guaymallen,Libertad y Quintana (Esquina Noroeste),,(0261) 4261218,,24 hs,Comisaria,-32.890183,-68.844050
5044,Destacamento,MENDOZA,Guaymallen,Portugal 6280,,(0261) 4214217,,24 hs,Comisaria,-32.890183,-68.844050
5045,Subcomisaria,MENDOZA,Guaymallen,Ruta 20 y General Castillo,,(0261) 4820550,,24 hs,Comisaria,-32.876533,-68.691650
5046,Subcomisaria,MENDOZA,Junin,Entre Rios 150,,(0263) 4420359,,24 hs,Comisaria,-33.148499,-68.486031
5047,Subcomisaria,MENDOZA,Junin,Las Heras y Ruta 60,,(0263) 4461331,,24 hs,Comisaria,-33.148499,-68.486031
5048,Comisaria Del Menor Y Alcaidía,MENDOZA,Junin,Salvador Gonzalez 145,,(0263) 4492021,,24 hs,Comisaria Mujer,-33.148499,-68.486031
5049,Comisaría,MENDOZA,Junin,San Martín y Salvador Gonzalez,,(0263) 4492816,,24 hs,Comisaria,-33.148499,-68.486031
5050,Fiscalía,MENDOZA,Junin,San Martín y Salvador Gonzalez,,(0263) 4422720/4421639,,Lunes a Viernes de 8 a 13 hs,Legal,-33.148499,-68.486031
5051,Servicio De Protección De Derechos De Niños Y Adolescentes,MENDOZA,Junin,San Martín y Sarmiento,,(0263) 4492387/2672 (interno: 148),,Lunes a Viernes de 7:30 a 13:30 hs,Niñez / Familia,-33.148499,-68.486031
5052,Subcomisaria,MENDOZA,Junin,Santos Lugares y Altoverde,,(0263) 4429737,,24 hs,Comisaria,-33.148499,-68.486031
5053,Comisaría,MENDOZA,La Paz,Belgrano y Galigniano,,(02626) 421111,,24 hs,Comisaria,-33.459196,-67.548462
5054,Municipalidad,MENDOZA,La Paz,Belgrano y Galigniano,,"(02626) 421101/421100 (internos: 34, 36 y 40)",,Lunes a Viernes de 7:30 a 13:30 hs,Mujer,-33.459196,-67.548462
5055,"Hospital ""Dr. Arturo Illia""",MENDOZA,La Paz,General Paz 2371,,(02626) 421079,,24 hs,Salud,-33.459789,-67.549011
5056,Hospital Elías Gaihac,MENDOZA,Las Heras,Aristóbulo Del Valle 1359,,(0261) 4511301/4511304/4511307,,24 hs,Salud,-32.849121,-68.815620
5057,Servicio De Protección De Derechos De Niños Y Adolescentes,MENDOZA,Las Heras,Jacinto Suarez 453,,(0261) 4376345,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-32.849121,-68.815620
5058,"Hospital ""Ministro Ramón Carrillo""",MENDOZA,Las Heras,Prolongaciòn Martin Fierro y Alvarez Condarco,,(0261) 4308666/4303976/4378555,,24 hs,Salud,-32.849121,-68.815620
5059,Área de Genero,MENDOZA,Las Heras,Rivadavia 651,,(0261) 4129673,,Lunes a Viernes de 8 a 13 hs,Mujer,-32.849121,-68.815620
5060,"Hospital ""Luis Chrabalowki""",MENDOZA,Las Heras,Tupungato y Aconcagua,,(0262) 4420027,,24 hs,Salud,-32.849121,-68.815620
5061,"Hospital "" Sicoli""",MENDOZA,Lavalle,Belgrano 415,,(0261) 4941065,,24 hs,Salud,-32.607425,-67.570854
5062,Comisaria 17°,MENDOZA,Lavalle,Belgrano y San Martín,,(0261) 4941272,,24 hs,Comisaria,-32.607425,-67.570854
5063,Fiscalía,MENDOZA,Lavalle,Belgrano y San Martín,,(0261) 4495478,,Lunes a Viernes de 8 a 13 hs,Legal,-32.607425,-67.570854
5064,Juzgado De Paz,MENDOZA,Lavalle,Polonio Montenegro 75,,(0261) 41012,,Lunes a Viernes de 8 a 13 hs,Legal,-32.607425,-67.570854
5065,Juzgado De Familia,MENDOZA,Lujan De Cuyo,Bustamante 271,,(0261) 4988181,,Lunes a Viernes de 13:30 a 19 hs,Legal,-33.037348,-68.879921
5066,Centro De Salud N° 31,MENDOZA,Lujan De Cuyo,Federico Serpa y República del Líbano,,(0261) 4980709,,24 hs,Salud,-33.037833,-68.880722
5067,Área de Niñez,MENDOZA,Lujan De Cuyo,Taboada y Vargas,,(0261) 4986212,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-33.030041,-68.878065
5068,Servicio De Protección De Derechos De Niños Y Adolescentes,MENDOZA,Lujan De Cuyo,Trelew 881,,(0261) 4984145,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-33.0286115,-68.89019719999999
5069,Área Integral de Familia,MENDOZA,Maipu,Barcalá 155,,(0261) 4974285 (interno: 37),,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-32.9791239,-68.78681
5070,Hospital Metraux,MENDOZA,Maipu,España 162,,(0261) 4921000/492177704,,24 hs,Salud,-33.0166702,-68.65000150000003
5071,Comisaría 54°,MENDOZA,Maipu,Gabrieli y Paso Uana,,(0261) 4932416,,24 hs,Comisaria,-32.890183,-68.8440498
5072,Hospital Paroissien Salud Mental,MENDOZA,Maipu,Godoy Cruz 551,,(0261) 4972833/4972288/4972459/4972288,,24 hs,Salud,-32.9807056,-68.7835121
5073,Área Mujer,MENDOZA,Maipu,Padre Vazquez 1367,,(0261) 4972706,,Lunes a Viernes de 7:30 a 13 hs,Mujer,-32.984746,-68.78893019999998
5074,Departamental De Seguridad,MENDOZA,Maipu,Sarmiento 70,,(0261) 4921111/4812902,,24 hs,Comisaria,-32.8988999,-68.8033686
5075,Comisaría 29°,MENDOZA,Maipu,Vicente López y Planes 153,,(0261) 4972221,,24 hs,Comisaria,-32.9641456,-68.78224699999998
5076,Hospital Regional Malargüe,MENDOZA,Malargüe,Avenida General Roca y Aldao,,(0260) 4471858,,24 hs,Salud,-35.4721298,-69.58087160000002
5077,Acción Social,MENDOZA,Malargüe,Juan Corvalán y Comandante Salas Oeste,,(02604) 470505 (interno: 213),,Lunes a Viernes de 8 a 13 hs,Mujer,-35.4721298,-69.58087160000002
5078,Centro De Acceso A La Justicia,MENDOZA,Mendoza Capital,"Aliar, Manzana A, Casa 5",,(0261) 4448487,,Lunes a Viernes de 8 a 16 hs,Legal,-32.9853326,-68.78165079999996
5079,Subcomisaria,MENDOZA,Mendoza Capital,Avenida Libertador S/N,,(0261) 4448644,,24 hs,Comisaria,-32.8842803,-68.87298750000002
5080,Comisaría 2°,MENDOZA,Mendoza Capital,Avenida San Martín 124,,(0261) 4241118/4242555/4243766/4243793,,24 hs,Comisaria,-32.9225389,-68.84787410000001
5081,Ministerio De Trabajo,MENDOZA,Mendoza Capital,Eusebio Blanco 450 (2° P),,(0261) 4203420/4258571,,Lunes a Viernes de 7 a 13 hs,Violencia Laboral,-32.890183,-68.844050
5082,Comisaría 59°,MENDOZA,Mendoza Capital,Gimnasio Municipal Nº 5,,(0261) 4440600/4447127,,24 hs,Comisaria,-32.890183,-68.8440498
5083,"Hospital ""Carlos Pereyra""",MENDOZA,Mendoza Capital,Ituzaingó 2831,,(0261) 4129100 (general)/4129103 (guardia),,24 hs,Salud,-32.8706286,-68.82915500000001
